"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","1n","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL10B102KB8NNNC_Spec.pdf","0603","1",""
"C2","0.1u","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/729/CL05B104KA5NNNC_Spec.pdf","0603","1",""
"J1","220-1-14-003","https://www.cnctech.us/pdfs/220-1-XX-00X_.pdf","14-DIP","1",""
"R1","10K","https://api.pim.na.industrial.panasonic.com/file_stream/main/fileversion/9152","0603","1",""
"RV1","SM-3TW203","https://www.nidec-components.com/e/catalog/trimmer/sm-3&sm-31.pdf","Custom J Lead","1",""
"SW1","CS-4-13NTA","https://www.nidec-components.com/e/catalog/switch/cs-4.pdf","Custom J Lead","1",""
"U1","LTC6905","https://www.analog.com/media/en/technical-documentation/data-sheets/6905fd.pdf","SOT-23-5","1",""
