"Reference","Value","Datasheet","Footprint","Qty","DNP"
"J1","1107741","https://www.arieselec.com/wp-content/uploads/2020/02/14005-oscillator-socket.pdf","14-DIP","1",""
"J2","220-1-08-003","https://www.cnctech.us/pdfs/220-1-XX-00X_.pdf","8-DIP","1",""
"SW1","CHS-01TB","https://www.nidec-components.com/e/catalog/switch/chs.pdf","Custom Gull Wing","1",""
